Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2019,300,Dermatology,Day Case,Child,0-15,  0-3 Months,9
1/31/2019,300,Dermatology,Day Case,Child,0-15,  3-6 Months,10
1/31/2019,300,Dermatology,Day Case,Child,16-64,  3-6 Months,1
1/31/2019,400,Endocrinology,Day Case,Child,0-15,  0-3 Months,6
1/31/2019,400,Endocrinology,Day Case,Child,0-15,  3-6 Months,3
1/31/2019,400,Endocrinology,Day Case,Child,0-15,  6-9 Months,1
1/31/2019,400,Endocrinology,Day Case,Child,16-64,  0-3 Months,1
1/31/2019,400,Endocrinology,Day Case,Child,16-64,  3-6 Months,1
1/31/2019,400,Endocrinology,Inpatient,Child,0-15,  0-3 Months,1
1/31/2019,402,Diabetes Mellitus,Inpatient,Child,0-15,  3-6 Months,1
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,28
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,13
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,6
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,4
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,0-15,18+ Months,6
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,16-64,  3-6 Months,2
1/31/2019,600,Otolaryngology (ENT),Day Case,Child,16-64,18+ Months,1
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,73
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,27
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,14
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,9
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15, 12-15 Months,1
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15, 15-18 Months,4
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,0-15,18+ Months,13
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,2
1/31/2019,600,Otolaryngology (ENT),Inpatient,Child,16-64,18+ Months,2
1/31/2019,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,7
1/31/2019,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,4
1/31/2019,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,1
1/31/2019,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,31
1/31/2019,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,36
1/31/2019,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,10
1/31/2019,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,10
1/31/2019,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,1
1/31/2019,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,2
1/31/2019,601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,1
1/31/2019,1300,Neurology,Day Case,Child,0-15,  0-3 Months,2
1/31/2019,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,1
1/31/2019,1302,Paediatric Neurology,Day Case,Child,0-15,  3-6 Months,1
1/31/2019,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,1
1/31/2019,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3
1/31/2019,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,1
1/31/2019,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,1
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,90
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,59
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,51
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,44
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,20
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,5
1/31/2019,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,1
1/31/2019,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,1
1/31/2019,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,1
1/31/2019,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2
1/31/2019,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,1
