Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2018,0,Small Volume Specialities,Inpatient,Child,0-15,  6-9 Months,1
1/31/2018,0,Small Volume Specialities,Inpatient,Child,16-64,  9-12 Months,1
1/31/2018,400,Endocrinology,Day Case,Child,0-15,  3-6 Months,1
1/31/2018,400,Endocrinology,Day Case,Child,0-15, 12-15 Months,1
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,14
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,2
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,1
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,2
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,44
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,12
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,5
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,2
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,1
1/31/2018,1300,Neurology,Day Case,Child,0-15, 15-18 Months,1
1/31/2018,1300,Neurology,Inpatient,Child,0-15,  0-3 Months,1
1/31/2018,1300,Neurology,Inpatient,Child,0-15,  3-6 Months,1
1/31/2018,1300,Neurology,Inpatient,Child,0-15,  6-9 Months,1
1/31/2018,1400,Neurosurgery,Day Case,Child,0-15,  0-3 Months,1
1/31/2018,1400,Neurosurgery,Inpatient,Child,0-15,  0-3 Months,2
1/31/2018,1400,Neurosurgery,Inpatient,Child,0-15,  3-6 Months,1
1/31/2018,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,30
1/31/2018,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,21
1/31/2018,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,5
1/31/2018,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,7
1/31/2018,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,3
1/31/2018,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,2
1/31/2018,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2
1/31/2018,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,2
1/31/2018,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,1
1/31/2018,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1
1/31/2018,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,1
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,36
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,40
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,20
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,15
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,16
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,16
1/31/2018,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,2
1/31/2018,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,4
1/31/2018,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,4
1/31/2018,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,4
1/31/2018,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,3
1/31/2018,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,3
1/31/2018,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,2
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,100
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,106
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,56
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,43
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,36
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,13
1/31/2018,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,5
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,2
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,2
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,3
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,1
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64, 12-15 Months,2
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,1
1/31/2018,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,3
1/31/2018,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,1
1/31/2018,1900,Paediatrics,Day Case,Child,16-64, 15-18 Months,1
1/31/2018,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,1
1/31/2018,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,1
1/31/2018,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,1
1/31/2018,1904,Neonatology,Inpatient,Child,0-15,  0-3 Months,1
1/31/2018,1904,Neonatology,Inpatient,Child,0-15,  9-12 Months,1
1/31/2018,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1
1/31/2018,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,38
1/31/2018,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,25
1/31/2018,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,13
1/31/2018,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,2
1/31/2018,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,1
1/31/2018,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,3
1/31/2018,2000,Plastic Surgery,Day Case,Child,16-64,  0-3 Months,1
1/31/2018,2000,Plastic Surgery,Day Case,Child,16-64,  6-9 Months,1
1/31/2018,2000,Plastic Surgery,Inpatient,Child,0-15,  0-3 Months,10
1/31/2018,2000,Plastic Surgery,Inpatient,Child,0-15,  3-6 Months,3
1/31/2018,2000,Plastic Surgery,Inpatient,Child,0-15,  6-9 Months,1
1/31/2018,2000,Plastic Surgery,Inpatient,Child,0-15, 12-15 Months,1
1/31/2018,2200,Radiology,Day Case,Child,0-15,  3-6 Months,3
1/31/2018,2200,Radiology,Day Case,Child,0-15,  6-9 Months,1
1/31/2018,2200,Radiology,Day Case,Child,0-15,  9-12 Months,1
1/31/2018,2200,Radiology,Day Case,Child,0-15,18+ Months,1
1/31/2018,2300,Nephrology,Inpatient,Child,0-15,  3-6 Months,1
1/31/2018,2300,Nephrology,Inpatient,Child,0-15,  9-12 Months,1
1/31/2018,2400,Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,2
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,20
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,23
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,10
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,10
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,14
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,5
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,0-15,18+ Months,25
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,1
1/31/2018,2400,Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,1
1/31/2018,2700,Infectious Diseases,Day Case,Child,0-15,  0-3 Months,1
1/31/2018,7000,Dental Surgery,Day Case,Child,0-15,  0-3 Months,11
1/31/2018,7000,Dental Surgery,Day Case,Child,0-15,  3-6 Months,13
1/31/2018,7000,Dental Surgery,Day Case,Child,0-15,  6-9 Months,6
1/31/2018,7000,Dental Surgery,Day Case,Child,0-15,  9-12 Months,3
1/31/2018,7000,Dental Surgery,Day Case,Child,0-15, 12-15 Months,2
1/31/2018,7000,Dental Surgery,Day Case,Child,0-15, 15-18 Months,2
1/31/2018,7000,Dental Surgery,Day Case,Child,16-64, 15-18 Months,1
1/31/2018,7000,Dental Surgery,Inpatient,Child,0-15,  0-3 Months,1
1/31/2018,7000,Dental Surgery,Inpatient,Child,0-15,  3-6 Months,2
1/31/2018,7000,Dental Surgery,Inpatient,Child,0-15,  6-9 Months,4
1/31/2018,7000,Dental Surgery,Inpatient,Child,0-15,  9-12 Months,3
1/31/2018,7000,Dental Surgery,Inpatient,Child,0-15, 12-15 Months,2
1/31/2018,7000,Dental Surgery,Inpatient,Child,16-64,  9-12 Months,1
1/31/2018,7200,Paediatric Surgery,Day Case,Child,0-15,  0-3 Months,32
1/31/2018,7200,Paediatric Surgery,Day Case,Child,0-15,  3-6 Months,17
1/31/2018,7200,Paediatric Surgery,Day Case,Child,0-15,  6-9 Months,2
1/31/2018,7200,Paediatric Surgery,Day Case,Child,0-15,  9-12 Months,6
1/31/2018,7200,Paediatric Surgery,Day Case,Child,0-15, 12-15 Months,1
1/31/2018,7200,Paediatric Surgery,Day Case,Child,0-15,18+ Months,2
1/31/2018,7200,Paediatric Surgery,Day Case,Child,16-64,  0-3 Months,1
1/31/2018,7200,Paediatric Surgery,Inpatient,Child,0-15,  0-3 Months,4
1/31/2018,7200,Paediatric Surgery,Inpatient,Child,0-15,  3-6 Months,4
1/31/2018,7200,Paediatric Surgery,Inpatient,Child,0-15,  6-9 Months,2
1/31/2018,7200,Paediatric Surgery,Inpatient,Child,0-15,18+ Months,1
1/31/2018,7700,Metabolic Medicine,Day Case,Child,0-15,  9-12 Months,1
1/31/2018,7700,Metabolic Medicine,Inpatient,Child,0-15,  0-3 Months,3
1/31/2018,7700,Metabolic Medicine,Inpatient,Child,0-15,  3-6 Months,1
1/31/2018,7700,Metabolic Medicine,Inpatient,Child,0-15,  6-9 Months,1
1/31/2018,7700,Metabolic Medicine,Inpatient,Child,0-15, 12-15 Months,1
1/31/2018,7700,Metabolic Medicine,Inpatient,Child,0-15, 15-18 Months,1
1/31/2018,7800,Urology,Day Case,Child,0-15,  0-3 Months,31
1/31/2018,7800,Urology,Day Case,Child,0-15,  3-6 Months,15
1/31/2018,7800,Urology,Day Case,Child,0-15,  6-9 Months,11
1/31/2018,7800,Urology,Day Case,Child,0-15,  9-12 Months,6
1/31/2018,7800,Urology,Day Case,Child,0-15, 15-18 Months,1
1/31/2018,7800,Urology,Day Case,Child,0-15,18+ Months,1
1/31/2018,7800,Urology,Inpatient,Child,0-15,  0-3 Months,4
1/31/2018,7800,Urology,Inpatient,Child,0-15,  3-6 Months,3
1/31/2018,7800,Urology,Inpatient,Child,0-15,  6-9 Months,5
1/31/2018,7800,Urology,Inpatient,Child,0-15,  9-12 Months,4
1/31/2018,7800,Urology,Inpatient,Child,0-15, 12-15 Months,3
1/31/2018,7800,Urology,Inpatient,Child,0-15, 15-18 Months,2
1/31/2018,7800,Urology,Inpatient,Child,0-15,18+ Months,1
1/31/2018,300,Dermatology,Day Case,Child,0-15,  0-3 Months,4
1/31/2018,300,Dermatology,Day Case,Child,0-15,  3-6 Months,10
1/31/2018,300,Dermatology,Day Case,Child,0-15,  6-9 Months,4
1/31/2018,300,Dermatology,Day Case,Child,0-15, 15-18 Months,1
1/31/2018,300,Dermatology,Day Case,Child,0-15,18+ Months,1
1/31/2018,300,Dermatology,Inpatient,Child,0-15,  0-3 Months,2
1/31/2018,300,Dermatology,Inpatient,Child,0-15,  6-9 Months,1
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,12
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,3
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,3
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,6
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,4
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 15-18 Months,4
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,0-15,18+ Months,7
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,16-64, 12-15 Months,1
1/31/2018,600,Otolaryngology (ENT),Day Case,Child,16-64,18+ Months,1
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,20
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,11
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,10
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,12
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15, 12-15 Months,8
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15, 15-18 Months,15
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,18+ Months,42
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,  9-12 Months,1
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,16-64, 12-15 Months,2
1/31/2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,18+ Months,4
1/31/2018,1300,Neurology,Day Case,Child,0-15,  3-6 Months,1
